% Model,infinitegrating_4.59um-DRS_Ti-Ag_EE_1storder_mod_addthickcap.mph,,,,,,,,,,,,,
% Version,COMSOL 5.1.0.234,,,,,,,,,,,,,
% Date,"Jun 25 2024, 10:37",,,,,,,,,,,,,
% Table,Accumulated Probe Table 1 - ,,,,,,,,,,,,,
% Cladding1,Grating_Layer,DutyCycle,Refinement level,Eigenfrequency,"Frequency, Global Var freq","emw.damp/emw.freq/(Period[um]), Global Var Loss","-emw.Poavy/emw.freq/(Period[um])/2 (N/cm), Boundary Probe 1","Energy density time average (J/m), Domain Probe 1","(freq*2*pi/c_const-2*pi/wavelength[um])*wavelength/Period/2, delta kappa","c_const/emw.freq, Global Var wavelength","bnd1/dom1, Global Variable Surface Loss","abs(emw.Ey)^2 (kg^2*m^4/(s^6*A^2)), Domain Probe Core Ey2","emw.normE^2 (kg^2*m^4/(s^6*A^2)), Domain Probe All E2","dom2/dom3, Global Var Gamma"
2.4,0.01,0.7,0,6.5313355519796234E13+2.105713801579752E9i,6.53E+13,2.795584473,-4.30E-12,1.69E-07,-0.6010592212513071+1.397772858250356i,4.590063634,-2.55E-05,2372.379557,3726.342355,0.636650992
2.4,0.01,0.7,0,6.534105250457739E13+9.519097610939394E9i,6.53E+13,12.6323726,-5.81E-12,1.67E-07,17.78419976001414+6.318777160326722i,4.588117983,-3.48E-05,2352.83509,3674.657903,0.640286838
2.4,0.01,0.7,0,6.708079534894476E13+9.710702035041832E9i,6.71E+13,12.55242681,4.43E-07,9.98E-08,1172.6255302236382+6.445964180390964i,4.469124977,4.438139318,22.88278916,2355.226894,0.009715747
2.4,0.15,0.5,0,6.495229469174333E13+5.792765020055067E11i,6.50E+13,773.3332541,-1.25E-13,2.36E-07,-240.27324318620222+384.52375214430987i,4.615579163,-5.29E-07,120.4951573,5132.68147,0.023476064
2.4,0.15,0.5,0,6.531286017072878E13+4.1646450205490355E9i,6.53E+13,5.52910146,-5.16E-12,2.00E-07,-0.9298719408765752+2.7644914373471488i,4.590098446,-2.58E-05,2809.839969,4418.752396,0.635889888
2.4,0.15,0.5,0,6.5336219542491336E13+2.7647709974629486E10i,6.53E+13,36.69276468,-7.32E-12,1.97E-07,14.576079442916665+18.35255036383494i,4.588457369,-3.71E-05,2713.656018,4347.949752,0.624123132
2.4,0.15,0.5,0,6.708600789282124E13+1.1821577276821457E10i,6.71E+13,15.27983798,7.18E-07,1.13E-07,1176.0856169398496+7.847163202736105i,4.468777729,6.35328686,25.34425227,2672.078572,0.009484845
2.4,0.15,0.2,0,6.531224763477453E13+8.438755428070448E9i,6.53E+13,11.20363736,-5.19E-12,1.91E-07,-1.33647331799954+5.601646000477617i,4.590141495,-2.71E-05,2679.35295,4225.736468,0.634055855
2.4,0.15,0.2,0,6.531376654455199E13+2.2407689755844784E9i,6.53E+13,2.974867491,-5.02E-12,1.96E-07,-0.32822098120357074+1.4874224851124973i,4.590034749,-2.56E-05,2759.205128,4331.370029,0.637028263
2.4,0.15,0.2,0,6.668145157620987E13+1.0260449863249885E12i,6.67E+13,1334.248213,-2.97E-10,2.08E-07,907.5411269104452+681.0886798353011i,4.4958898,-0.001428556,77.56120159,4523.599857,0.017145902
2.4,0.15,0.2,0,6.708198540244367E13+8.775369552871197E9i,6.71E+13,11.34317884,6.17E-07,1.14E-07,1173.4154877569945+5.82509046239699i,4.469045694,5.387910587,25.97567957,2705.071187,0.009602586
2.4,0.15,0.7,0,6.436849757193253E13+3.4155021199807336E11i,6.44E+13,460.1044773,-1.69E-15,2.50E-07,-627.797781508584+226.72103668713146i,4.657440663,-6.76E-09,41.49905561,5327.774236,0.007789192
2.4,0.15,0.7,0,6.5310916420353195E13+9.105910032948885E9i,6.53E+13,12.08962556,-5.24E-12,1.99E-07,-2.2201334741251117+6.044503238843161i,4.590235055,-2.63E-05,2778.799327,4396.62945,0.632029458
2.4,0.15,0.7,0,6.533955449505774E13+9.507736222334667E9i,6.53E+13,12.61758468,-6.75E-12,1.96E-07,16.789821014720754+6.311235470372557i,4.588223172,-3.44E-05,2763.243196,4322.957488,0.639202029
2.4,0.15,0.7,0,6.635405856655861E13+7.521705807363807E11i,6.64E+13,982.9334707,-2.40E-10,2.64E-07,690.2176413882887+499.2908446242626i,4.518072662,-9.09E-04,90.44825626,5397.014677,0.016758942
